Motion Through Fluids Experiment Mon, Sep 23, 2024 8:31 PM
Time(sec)	Position(mm)
0.050	179.618
0.100	179.618
0.150	179.815
0.200	179.815
0.250	180.012
0.300	180.012
0.350	180.012
0.400	180.208
0.450	180.208
0.500	180.405
0.550	180.405
0.600	180.405
0.650	180.602
0.700	180.602
0.750	180.798
0.800	180.798
0.850	180.798
0.900	180.995
0.950	180.995
1.000	181.192
1.050	181.192
1.100	181.192
1.150	181.389
1.200	181.389
1.250	181.585
1.300	181.585
1.350	181.782
1.400	181.782
1.450	181.782
1.500	181.979
1.550	181.979
1.600	181.979
1.650	182.176
1.700	182.176
1.750	182.372
1.800	182.372
1.850	182.570
1.900	182.569
1.950	182.569
2.000	182.766
2.050	182.766
2.100	182.963
2.150	182.963
2.200	182.963
2.250	183.159
2.300	183.159
2.350	183.356
2.401	183.356
2.450	183.356
2.500	183.553
2.550	183.553
2.600	183.553
2.650	183.750
2.700	183.750
2.750	183.946
2.800	183.946
2.850	183.946
2.900	184.143
2.950	184.143
3.000	184.340
3.050	184.340
3.100	184.340
3.150	184.537
3.200	184.537
3.250	184.734
3.300	184.734
3.350	184.734
3.400	184.930
3.450	184.930
3.500	185.127
3.550	185.127
3.600	185.127
3.650	185.324
3.700	185.324
3.750	185.521
3.800	185.521
3.850	185.521
3.900	185.718
3.950	185.718
4.000	185.914
4.050	185.914
4.100	185.914
4.150	186.111
4.200	186.111
4.250	186.308
4.300	186.308
4.350	186.308
4.400	186.505
4.450	186.505
4.500	186.702
4.550	186.702
4.600	186.702
4.650	186.899
4.700	186.899
4.750	187.095
4.800	187.095
4.850	187.095
4.900	187.292
4.950	187.292
5.000	187.489
5.050	187.489
5.100	187.489
5.150	187.686
5.200	187.686
5.250	187.883
5.300	187.883
5.350	187.883
5.400	188.080
5.450	188.080
5.500	188.277
5.550	188.277
5.600	188.277
5.650	188.474
5.700	188.474
5.750	188.474
5.800	188.670
5.850	188.670
5.900	188.867
5.950	188.867
6.000	188.867
6.050	189.064
6.100	189.064
6.150	189.261
6.200	189.261
6.250	189.261
6.300	189.458
6.350	189.458
6.400	189.655
6.450	189.655
6.500	189.655
6.550	189.852
6.600	189.852
6.650	190.049
6.700	190.049
6.750	190.049
6.800	190.246
6.850	190.246
6.900	190.246
6.950	190.443
7.000	190.443
7.050	190.640
7.100	190.640
7.150	190.640
7.200	190.837
7.250	190.837
7.300	191.034
7.350	191.034
7.400	191.034
7.450	191.231
7.500	191.231
7.550	191.428
7.600	191.428
7.650	191.428
7.700	191.625
7.750	191.625
7.800	191.822
7.850	191.822
7.900	191.822
7.950	192.019
8.000	192.019
8.050	192.216
8.100	192.216
8.150	192.216
8.200	192.413
8.250	192.413
8.300	192.413
8.350	192.610
8.400	192.610
8.450	192.807
8.500	192.807
8.550	192.807
8.600	193.004
8.650	193.004
8.700	193.201
8.750	193.201
8.800	193.201
8.850	193.398
8.900	193.398
8.950	193.595
9.000	193.595
9.050	193.595
9.100	193.792
9.150	193.792
9.200	193.792
9.250	193.989
9.301	193.989
9.350	194.186
9.400	194.186
9.450	194.186
9.500	194.383
9.550	194.383
9.600	194.581
9.650	194.580
9.700	194.580
9.750	194.777
9.800	194.777
9.850	194.777
9.900	194.974
9.950	194.974
10.000	195.172
10.050	195.172
10.100	195.172
10.150	195.369
10.200	195.369
10.250	195.567
10.300	195.566
10.350	195.566
10.400	195.763
10.450	195.763
10.500	195.763
10.550	195.960
10.600	195.960
10.650	196.157
10.700	196.157
10.750	196.157
10.800	196.354
10.850	196.354
10.900	196.552
10.950	196.552
11.000	196.552
11.050	196.749
11.100	196.749
11.150	196.749
11.200	196.946
11.250	196.946
11.300	197.143
11.350	197.143
11.400	197.143
11.450	197.340
11.500	197.340
11.550	197.537
11.600	197.537
11.651	197.537
11.700	197.735
11.750	197.735
11.800	197.735
11.850	197.932
11.900	197.932
11.950	198.129
12.000	198.129
12.050	198.129
12.100	198.326
12.150	198.326
12.200	198.524
12.250	198.524
12.300	198.524
12.350	198.721
12.400	198.721
12.450	198.721
12.500	198.918
12.550	198.918
12.600	198.918
12.650	199.115
12.700	199.115
12.750	199.313
12.800	199.313
12.850	199.313
12.900	199.510
12.950	199.510
13.000	199.707
13.050	199.707
13.100	199.707
13.150	199.905
13.200	199.905
13.250	199.905
13.300	200.102
13.350	200.102
13.400	200.299
13.450	200.299
13.500	200.299
13.550	200.497
13.600	200.497
13.650	200.695
13.700	200.694
13.750	200.694
13.800	200.891
13.850	200.891
13.900	200.891
13.950	201.089
14.000	201.089
14.050	201.287
14.100	201.286
14.150	201.286
14.200	201.483
14.250	201.483
14.300	201.682
14.350	201.681
14.400	201.681
14.450	201.878
14.500	201.878
14.550	201.878
14.600	202.075
14.650	202.075
14.700	202.075
14.750	202.273
14.800	202.273
14.850	202.470
14.900	202.470
14.950	202.470
15.000	202.668
15.050	202.668
15.100	202.866
15.150	202.865
15.200	202.865
15.250	203.063
15.300	203.063
15.350	203.063
15.400	203.260
15.450	203.260
15.500	203.459
15.550	203.458
15.600	203.458
15.650	203.656
15.700	203.655
15.750	203.655
15.800	203.853
15.850	203.853
15.900	203.853
15.950	204.050
16.000	204.050
16.050	204.249
16.100	204.248
16.150	204.248
16.200	204.445
16.250	204.445
16.300	204.445
16.350	204.643
16.400	204.643
16.450	204.841
16.500	204.840
16.550	204.840
16.600	205.038
16.650	205.038
16.700	205.038
16.750	205.235
16.800	205.235
16.850	205.433
16.900	205.433
16.950	205.433
17.000	205.630
17.050	205.630
17.100	205.630
17.150	205.828
17.200	205.828
17.250	206.026
17.300	206.026
17.350	206.026
17.400	206.223
17.450	206.223
17.500	206.223
17.550	206.421
17.600	206.421
17.650	206.619
17.700	206.618
17.750	206.618
17.800	206.816
17.850	206.816
17.900	206.816
17.950	207.014
18.000	207.014
18.050	207.212
18.100	207.211
18.150	207.211
18.200	207.409
18.250	207.409
18.300	207.409
18.350	207.607
18.400	207.607
18.450	207.607
18.500	207.804
18.550	207.804
18.600	208.002
18.650	208.002
18.700	208.002
18.750	208.200
18.800	208.200
18.850	208.200
18.900	208.397
18.950	208.397
19.000	208.397
19.050	208.596
19.100	208.595
19.150	208.794
19.200	208.793
19.250	208.793
19.300	208.991
19.350	208.991
19.400	208.991
19.450	209.188
19.500	209.188
19.550	209.387
19.600	209.386
19.650	209.386
19.700	209.584
19.750	209.584
19.800	209.584
19.850	209.782
19.900	209.782
19.950	209.782
20.000	209.980
20.050	209.980
20.100	210.178
20.150	210.177
20.200	210.177
20.250	210.375
20.300	210.375
20.350	210.375
20.400	210.573
20.450	210.573
20.500	210.772
20.550	210.771
20.600	210.771
20.650	210.969
20.700	210.969
20.750	210.969
20.800	211.167
20.850	211.167
20.900	211.167
20.950	211.365
21.000	211.365
21.050	211.564
21.100	211.563
21.150	211.563
21.200	211.760
21.250	211.760
21.300	211.760
21.350	211.958
21.400	211.958
21.450	212.157
21.500	212.156
21.550	212.156
21.600	212.354
21.650	212.354
21.700	212.354
21.750	212.552
21.800	212.552
21.850	212.552
21.900	212.750
21.950	212.750
22.000	212.949
22.050	212.948
22.100	212.948
22.150	212.948
22.200	213.147
22.250	213.146
22.300	213.345
22.350	213.344
22.400	213.344
22.450	213.542
22.500	213.542
22.550	213.542
22.600	213.740
22.650	213.740
22.700	213.740
22.750	213.938
22.800	213.938
22.850	214.137
22.900	214.136
22.950	214.136
23.000	214.334
23.050	214.334
23.100	214.334
23.150	214.533
23.200	214.533
23.250	214.533
23.300	214.731
23.350	214.731
23.400	214.930
23.450	214.929
23.500	214.929
23.550	215.127
23.600	215.127
23.650	215.127
23.700	215.325
23.750	215.325
23.800	215.325
23.850	215.523
23.900	215.523
23.950	215.722
24.000	215.721
24.050	215.721
24.100	215.920
24.150	215.919
24.200	215.919
24.250	216.118
24.300	216.118
24.350	216.118
24.400	216.316
24.450	216.316
24.500	216.316
24.550	216.514
24.600	216.514
24.650	216.713
24.700	216.712
24.750	216.712
24.800	216.911
24.850	216.911
24.900	216.911
24.950	217.109
25.000	217.109
25.050	217.109
25.100	217.307
25.150	217.307
25.200	217.506
25.250	217.505
25.300	217.505
25.350	217.705
25.400	217.705
25.450	217.704
25.500	217.903
25.550	217.902
25.600	217.902
25.650	218.101
25.700	218.100
25.750	218.100
25.800	218.299
25.850	218.299
25.900	218.299
25.950	218.497
26.000	218.497
26.050	218.497
26.100	218.696
26.150	218.695
26.200	218.895
26.250	218.894
26.300	218.894
26.350	219.093
26.400	219.092
26.450	219.092
26.500	219.291
26.550	219.290
26.600	219.290
26.650	219.489
26.700	219.489
26.750	219.489
26.800	219.687
26.850	219.687
26.900	219.887
26.950	219.887
27.000	219.886
27.050	220.085
27.101	220.084
27.150	220.084
27.201	220.284
27.250	220.283
27.301	220.283
27.350	220.481
27.400	220.481
27.450	220.481
27.500	220.680
27.550	220.680
27.600	220.680
27.650	220.878
27.700	220.878
27.750	221.078
27.800	221.077
27.850	221.077
27.900	221.276
27.950	221.275
28.000	221.275
28.050	221.475
28.100	221.474
28.150	221.474
28.200	221.673
28.250	221.672
28.300	221.672
28.350	221.871
28.400	221.871
28.450	221.871
28.500	222.070
28.550	222.069
28.600	222.069
28.650	222.269
28.700	222.268
28.750	222.268
28.800	222.467
28.850	222.467
28.900	222.467
28.950	222.666
29.000	222.665
29.050	222.865
29.100	222.864
29.150	222.864
29.200	223.064
29.251	223.063
29.300	223.063
29.350	223.262
29.400	223.261
29.450	223.261
29.500	223.461
29.550	223.460
29.600	223.460
29.650	223.659
29.700	223.659
29.750	223.659
29.800	223.858
29.850	223.858
29.900	223.858
29.950	224.057
30.000	224.056
30.050	224.256
30.100	224.256
30.150	224.255
30.200	224.455
30.250	224.455
30.300	224.454
30.350	224.654
30.400	224.653
30.450	224.653
30.500	224.852
30.550	224.851
30.600	224.851
30.650	225.051
30.700	225.050
30.750	225.050
30.800	225.249
30.850	225.249
30.900	225.249
30.950	225.449
31.000	225.448
31.050	225.448
31.100	225.648
31.150	225.647
31.200	225.647
31.250	225.847
31.300	225.846
31.350	226.046
31.400	226.045
31.450	226.045
31.500	226.244
31.550	226.244
