Motion Through Fluids Experiment Mon, Sep 23, 2024 7:33 PM
Time(sec)	Position(mm)
0.027	0.000
0.077	10.468
0.127	5.315
0.177	3.588
0.227	38.095
0.277	1.119
0.327	49.676
0.377	55.425
0.427	59.516
0.477	67.661
0.527	73.740
0.577	77.982
0.627	84.021
0.677	90.241
0.727	1.114
0.777	102.824
0.827	108.990
0.877	115.341
0.927	121.480
0.977	127.807
1.027	134.124
1.077	140.435
1.127	146.737
1.177	153.037
1.227	159.334
1.277	165.627
1.327	171.921
1.377	178.216
1.427	184.513
1.477	190.815
1.527	197.123
1.577	203.439
1.627	209.963
1.677	216.299
1.727	222.650
1.777	229.015
1.828	235.397
1.877	241.798
1.927	248.018
1.977	254.462
2.027	260.930
2.077	267.222
2.127	273.541
2.177	279.889
2.227	286.269
2.277	0.000
2.327	0.000
2.377	0.000
2.427	0.000
2.477	0.000
2.527	0.000
2.577	0.000
2.627	0.000
2.677	0.000
2.727	0.000
2.777	0.000
2.827	0.000
2.877	0.000
2.927	0.000
2.977	0.000
