Motion Through Fluids Experiment Mon, Sep 23, 2024 7:20 PM
Time(sec)	Position(mm)
0.031	12.808
0.081	12.594
0.131	12.806
0.181	13.020
0.231	13.020
0.281	13.016
0.331	13.651
0.381	1.114
0.431	14.952
0.481	12.149
0.531	10.654
0.581	7.220
0.631	4.851
0.681	28.032
0.731	32.014
0.781	36.191
0.831	40.352
0.881	44.704
0.931	49.040
0.981	53.361
1.031	57.871
1.081	62.366
1.131	66.847
1.181	69.893
1.231	75.765
1.281	78.794
1.331	83.428
1.381	88.050
1.431	92.461
1.481	97.061
1.531	101.652
1.581	106.233
1.631	110.806
1.681	115.371
1.731	119.927
1.781	124.478
1.831	129.023
1.881	133.562
1.931	138.098
1.981	142.630
2.031	147.158
2.081	151.684
2.131	156.208
2.181	160.731
2.231	165.253
2.281	169.775
2.331	174.297
2.381	178.820
2.431	183.345
2.481	187.872
2.531	192.402
2.581	196.936
2.631	201.473
2.681	206.015
2.731	210.562
2.781	215.115
2.831	219.675
2.881	224.043
2.931	228.619
2.981	233.203
3.031	237.797
3.081	242.400
3.131	246.813
3.181	251.439
3.231	256.077
3.281	260.525
3.331	265.189
3.381	269.868
3.431	274.358
3.481	278.863
3.531	283.589
3.581	288.127
3.631	0.000
3.681	0.000
3.731	0.000
3.781	0.000
3.831	0.000
3.881	0.000
3.931	0.000
3.981	0.000
