Motion Through Fluids Experiment Mon, Sep 23, 2024 7:52 PM
Time(sec)	Position(mm)
0.035	14.734
0.085	12.826
0.135	5.546
0.185	2.968
0.235	40.425
0.285	46.033
0.335	50.996
0.385	56.142
0.435	61.469
0.485	67.182
0.535	73.073
0.585	79.345
0.635	85.794
0.685	92.420
0.735	99.224
0.785	106.206
0.835	113.366
0.885	120.904
0.935	1.114
0.985	135.732
1.035	143.224
1.085	150.707
1.135	158.380
1.185	166.049
1.235	173.521
1.285	181.191
1.335	189.064
1.385	196.748
1.435	204.642
1.485	212.552
1.535	220.682
1.585	228.636
1.635	236.817
1.685	244.830
1.735	253.076
1.785	261.363
1.835	269.691
1.885	277.863
1.935	286.084
1.985	0.000
2.035	0.000
2.085	0.000
2.135	0.000
2.185	0.000
2.235	0.000
2.285	0.000
2.335	0.000
2.385	0.000
2.435	0.000
2.485	0.000
