Motion Through Fluids Experiment Mon, Sep 23, 2024 6:58 PM
Time(sec)	Position(mm)
0.007	0.000
0.057	0.000
0.107	0.000
0.157	0.000
0.207	0.000
0.257	0.000
0.307	3.730
0.357	0.000
0.407	3.730
0.457	0.000
0.507	0.000
0.557	0.000
0.608	60.300
0.657	63.769
0.707	67.432
0.757	70.883
0.807	74.531
0.857	77.967
0.907	81.598
0.957	85.220
1.007	88.837
1.057	92.456
1.107	96.057
1.157	99.442
1.207	103.032
1.258	106.616
1.307	110.195
1.357	113.769
1.407	117.143
1.457	120.907
1.507	124.470
1.557	127.830
1.607	131.382
1.657	134.943
1.707	138.685
1.757	3.719
1.807	145.974
1.857	149.320
1.907	153.058
1.957	3.719
2.007	160.139
2.057	163.678
2.107	167.414
2.157	170.953
2.207	174.687
2.257	178.229
2.307	181.771
2.357	185.508
2.407	188.856
2.457	192.600
2.507	196.344
2.557	199.894
2.607	203.448
2.657	207.004
2.707	210.564
2.757	214.124
2.807	217.692
2.857	221.661
2.907	225.039
2.957	228.823
3.007	232.208
3.057	236.006
3.107	239.599
3.157	243.005
3.207	246.616
3.257	250.643
3.307	253.861
3.357	257.495
3.407	261.339
3.457	264.990
3.507	3.719
3.557	270.892
3.607	274.567
3.657	0.000
3.707	281.953
3.757	0.000
3.807	0.000
3.857	3.719
3.907	0.000
3.957	0.000
4.007	0.000
4.057	0.000
4.107	0.000
4.157	0.000
4.207	0.000
4.257	0.000
4.307	3.719
4.357	0.000
4.407	0.000
4.457	0.000
4.507	0.000
4.557	0.000
4.607	0.000
4.657	0.000
4.707	0.000
4.757	0.000
4.807	0.000
4.857	0.000
4.907	0.000
4.957	0.000
